singRecp,singRecp-href,Overview,Profile,Rating,Ingred1,Ingred2,Ingred3,Ingred4,Ingred5,Ingred6,Ingred7,Ingred8,Ingred9,Ingred10,Ingred11,Ingred12,Procedure
"imperial russian stout","https://beerrecipes.org/Recipe/1155/imperial-russian-stout.html","Beer Style: Russian Imperial Stout (13F)

Recipe Type: other

Yield: 5 US gallons","Original Gravity: 1.070
 Final Gravity: 1.080
 Recipe Type: other
 Yield: 5.00 US Gallons","5.0 stars based on 2 votes

No reviews","fermentables","6.6lbs. of dark LME","2.1lbs. of dark DME","8 oz. of maltodextrin","crushed grains","8oz. crystal 60L","8oz. of roasted barley","8oz. black patent","hops","1oz. columbus bittering hops","0.5oz. palisades hops for aromas","yeast","steap 2.5 gallons of bottled waters at 160F. for 25 minutes with crushes grains in a grain bag. remove grain bag, bring wort to soft boil. add all of the fermentable malts, dry and liquid, and continue with a soft rolling boil. then add the bittering hops. boil for 40 minutes, then add the aromatic hops, boil for 20 minutes. kill the boil fast in an ice bath wherever safe and bring the wort down to aproximatley 70F. put the wort into the primary, add enough water to bring the wort to 5 gallons at 1.070 OG. pitch the yeast, arrate, stir, cover and set in a cool place. ferment for 6 days, put into secondary. let it ferment for 10 more days. put the beer into a botteling bucket, prime the sugar, and bottle. let it carbonate for about 2-3 weeks, chill and enjoy. should be about 8% abv."
"Firestone Walker Clone","https://beerrecipes.org/Recipe/7381/firestone-walker-clone.html","Beer Style: American IPA (14B)

Recipe Type: all-grain

Yield: 5.25 US gallons","Original Gravity: 1.075 (18.0° P)
 Final Gravity: 1.013 SG (3.4° P)
 Alcohol by Vol: 8.1%
 Color SRM: 39.7  Color Sample 
 Bitterness IBU: 48.7
 Recipe Type: all-grain
 Yield: 5.25 US Gallons","5.0 stars based on 1 votes

1 reviews, Read the reviews","12 lbs 7.5 oz - Pale Malt (2 Row) US (2.0 SRM) (Grain)","1 lbs 8.7 oz - Rye Malt (4.7 SRM) (Grain)","8.0 oz - Cara-Rye (175.0 SRM) (Grain)","8.0 oz - Carafa III (525.0 SRM) (Grain)","8.0 oz - Midnight Wheat (550.0 SRM) (Grain)","0.2 oz - Amarillo [9.3%] - Boil 90 min (Hops)","0.2 oz - Citra [12.0%] - Boil 90 min (Hops)","0.5 oz - Amarillo [9.3%] - Boil 30 min (Hops)","0.5 oz - Citra [12.0%] - Boil 30 min (Hops)","1.00 - Whirlfloc Tablet (Boil 15 min) (Misc)","1.00 tsp - Yeast Nutrient (Boil 15 min) (Misc)","3.0 oz - Amarillo [9.3%] - Boil 0 min (Hops)","null"
"Overly Acidic Stout","https://beerrecipes.org/Recipe/406/overly-acidic-stout.html","Beer Style: Dry Stout (13A)

Recipe Type: extract

Yield: 5 US gallons","null","5.0 stars based on 1 votes

No reviews","1.8 kg Best Cellar Stout Kit (made in Ireland, I used the kit hoping to get","null","null","null","null","null","null","null","null","null","null","null","null"
"Generic Ale","https://beerrecipes.org/Recipe/114/generic-ale.html","Beer Style: American Pale Ale (10A)

Recipe Type: all-grain

Yield: 5 US gallons","Source:
Jack Schmidling,","5.0 stars based on 3 votes

1 reviews, Read the reviews","9 pounds, 2--row Harrington malt","Edme ale yeast","1 ounce, Chinook hops","null","null","null","null","null","null","null","null","null","Use standard mashing procedure. I always add 1/4 of the hops after the boil so a nominal attempt at aroma is SOP."
"Oatmeal Cinnamon Stout","https://beerrecipes.org/Recipe/8953/oatmeal-cinnamon-stout.html","Beer Style: Oatmeal Stout (13C)

Recipe Type: all-grain

Yield: 5 US gallons","null","5.0 stars based on 1 votes

1 reviews, Read the reviews","9 lbs - Pale Malt (2 Row) US (2.0 SRM) (Grain)","1 lbs 4.0 oz - Oats, Flaked (1.0 SRM) (Grain)","1 lbs - Caramel/Crystal Malt - 80L (80.0 SRM) (Grain)","1 lbs - Roasted Barley (300.0 SRM) (Grain)","4.0 oz - Black (Patent) Malt (500.0 SRM) (Grain)","1.8 oz - Fuggles [3.6%] - Boil 60 min (Hops)","1.0 oz - Goldings, East Kent [5.8%] - Boil 15 min (Hops)","3.00 - Cinnamon Stick (Boil 5 min) (Misc)","1.00 tsp - Pepper, Black (Boil 5 min) (Misc)","2 pkgs - Irish Ale Yeast (White Labs #WLP004) (Yeast)","null","null","null"
"She Devil","https://beerrecipes.org/Recipe/1693/she-devil.html","Beer Style: Belgian Tripel (18C)

Recipe Type: all-grain

Yield: 5.5 US gallons","Original Gravity: 1.095 (22.6° P)
 Final Gravity: 1.010 SG (2.6° P)
 Alcohol by Vol: 11.4%
 Color SRM: 8.4  Color Sample 
 Bitterness IBU: 32.3
 Recipe Type: all-grain
 Yield: 5.50 US Gallons","5.0 stars based on 4 votes

2 reviews, Read the reviews","14 lbs - Pilsner (2 Row) Bel (2.0 SRM) (Grain)","2 lbs - Caravienne Malt (22.0 SRM) (Grain)","2 lbs - Cane (Beet) Sugar (0.0 SRM) (Grain)","1.0 oz - Northern Brewer [8.5%] - Boil 60 min (Hops)","1.0 oz - Mt. Hood [6.0%] - Boil 15 min (Hops)","1.0 oz - Mt. Hood [6.0%] - Boil 5 min (Hops)","1 pkgs - Bastogne Belgian Ale (White Labs #WLP510) (Yeast)","null","null","null","null","null","Beer Kits make 5 gallons of quality homebrew and includes: instructions, freshly-milled malted barley, extract, muslin steeping bag(s), brewer's yeast, hops, carbonation sugar and 60 easy-peel labels. All-Grain kits do not include steeping bag(s) or extract."
"Czech Pilsner (Northern Brewer)","https://beerrecipes.org/Recipe/4779/czech-pilsner-northern-brewer.html","Beer Style: Bohemian Pilsener (2B)

Recipe Type: all-grain

Yield: 5 US gallons","null","5.0 stars based on 2 votes

1 reviews, Read the reviews","1.00 tbsp - PH 5.2 Stabilizer (Mash 60 min) (Misc)","9 lbs 8.0 oz - Pilsner (Weyermann) (1.7 SRM) (Grain)","4.0 oz - Carahell (Weyermann) (13.0 SRM) (Grain)","1.0 oz - Perle [8.0%] - Boil 60 min (Hops)","1.0 oz - Saaz [4.0%] - Boil 30 min (Hops)","1.0 oz - Saaz [4.0%] - Boil 15 min (Hops)","0.25 tsp - Irish Moss (Boil 10 min) (Misc)","1 pkgs - Urquell Lager (Wyeast Labs #2001) (Yeast)","null","null","null","null","Beer Kits make 5 gallons of quality homebrew and includes: instructions, freshly-milled malted barley, extract, muslin steeping bag(s), brewer's yeast, hops, carbonation sugar and 60 easy-peel labels. All-Grain kits do not include steeping bag(s) or extract."
"All grain Barleywine","https://beerrecipes.org/Recipe/466/all-grain-barleywine.html","Beer Style: American Barleywine (19C)

Recipe Type: all-grain

Yield: 5 US gallons","Source:
David Miller","5.0 stars based on 2 votes

No reviews","12# German Pils malt","3# Belgian Munich malt","12 oz British Chocolate malt","2# British Medium Crystal malt","1 oz Eroica (60 min)","2 oz Northern Brewer (60 min)","1 oz. Kent Goldings (30 min)","1/2 oz Kent Goldings (20 min)","1/2 oz. Kent Goldings (finish)","Irish Moss at 15 min","Wyeast Irish Ale Yeast (recultured)","Dry Champagne Yeast (secondary)","The amount of grain here maxed out my bucket tun sparger. The alcohol here is only about 9%, but then I sparged only enough water to accumulate about 6 gallons for the boil. Sparging for an 8 or 9 gallons and then reducing to around 6 gallons when adding the hops should add a boost to the alcohol content. Also, the Irish ale yeast brought the fermentation down to the final gravity. The champagne yeast brought no further fermentation and could be eliminated. Brewed as a single decoct. Strike temp of 144. Main mash at 154."
"Blueberry Mead","https://beerrecipes.org/Recipe/799/blueberry-mead.html","Beer Style: Open Category Mead (26C)

Recipe Type: other

Yield: 6.5 US gallons","Source:
Jonathan Corbet","5.0 stars based on 2 votes

No reviews","7-10 pounds, fresh blueberries","1-2 pounds, corn sugar","1-2 ounces, hops (Cascades is fine)","10 pounds, honey","yeast","lemon grass tea (optional)","null","null","null","null","null","null","To make 6-1/2 gallons of mead, Boil the honey, sugar, and hops for at least an hour (although boiling honey is not favored by most digest subscribers, it works fine and is the method used by Papazian). Clean berries and mash well. Put mashed berries, hot wort, and enough water to make 6-1/2 gallons into a fermenter. Pitch yeast. After one week, strain out berries and rack to secondary. Ferment at least one more month and then bottle, priming with corn sugar and perhaps some lemon grass tea. Age 6 months to a year."
"pattisons wheat version 1","https://beerrecipes.org/Recipe/2599/pattisons-wheat-version-1.html","Beer Style: Witbier (16A)

Recipe Type: all-grain

Yield: 12 US gallons","Original Gravity: 1.042 (10.4° P)
 Final Gravity: 1.006 SG (1.5° P)
 Alcohol by Vol: 4.7%
 Color SRM: 3.9  Color Sample 
 Bitterness IBU: 47.7
 Recipe Type: all-grain
 Yield: 12.00 US Gallons","5.0 stars based on 2 votes

2 reviews, Read the reviews","8 lbs - White Wheat Malt (2.4 SRM) (Grain)","4 lbs - Pilsner (2 Row) Bel (2.0 SRM) (Grain)","2 lbs - Barley, Flaked (1.7 SRM) (Grain)","1 lbs - Cara-Pils/Dextrine (2.0 SRM) (Grain)","1 lbs - Caramel/Crystal Malt - 20L (20.0 SRM) (Grain)","2 lbs - Candi Sugar, Clear (0.5 SRM) (Grain)","2.0 oz - Hallertauer [4.8%] - Boil 60 min (Hops)","2.0 oz - Saaz [4.0%] - Boil 60 min (Hops)","2.0 oz - Willamette [5.5%] - Boil 60 min (Hops)","2.50 oz - Orange Peel, Bitter (Boil 5 min) (Misc)","1.00 oz - Coriander Seed (Boil 5 min) (Misc)","0.50 oz - Orange Peel, Sweet (Boil 5 min) (Misc)","null"
"Maple Syrup Stout 2","https://beerrecipes.org/Recipe/509/maple-syrup-stout-2.html","Beer Style: Spice, Herb, or Vegetable Beer (21A)

Recipe Type: extract

Yield: 5 US gallons","Source:
Anonymous","5.0 stars based on 1 votes

No reviews","6 pounds, Australian dark extract syrup","1-1/2 ounces, Bullion hops (boil)","12 ounces, maple syrup","ale yeast","3/4 cup, corn sugar (priming)","null","null","null","null","null","null","null","Add six ounces of the maple syrup during the boil and the other 6 in the last couple minutes of the boil (much like a finishing hops). Total boil time was 1 hour."
"Citra Double IPA (clone) - Kern River Brewing Company","https://beerrecipes.org/Recipe/8793/citra-double-ipa-clone-kern-river-brewing-company.html","Beer Style: Imperial IPA (14C)

Recipe Type: all-grain

Yield: 10 US gallons","Original Gravity: 1.073 (17.7° P)
 Final Gravity: 1.011 SG (2.9° P)
 Alcohol by Vol: 8.2%
 Color SRM: 6.3  Color Sample 
 Bitterness IBU: 83.5
 Recipe Type: all-grain
 Yield: 10.00 US Gallons","5.0 stars based on 1 votes

No reviews","22 lbs 15.4 oz - Pale Malt (2 Row) US (2.0 SRM) (Grain)","1 lbs 4.5 oz - Cara-Pils/Dextrine (2.0 SRM) (Grain)","1 lbs 4.5 oz - Caramel/Crystal Malt - 10L (10.0 SRM) (Grain)","1 lbs 4.5 oz - Munich Malt (9.0 SRM) (Grain)","10.0 oz - Honey Malt (25.0 SRM) (Grain)","9.9 oz - White Wheat Malt (2.4 SRM) (Grain)","1.6 oz - Nugget [13.0%] - Boil 60 min (Hops)","1.6 oz - Citra [12.0%] - Boil 30 min (Hops)","1.67 - Whirlfloc Tablet (Boil 15 min) (Misc)","1.6 oz - Citra [12.0%] - Boil 15 min (Hops)","1.6 oz - Citra [12.0%] - Boil 10 min (Hops)","1.6 oz - Citra [12.0%] - Boil 5 min (Hops)","null"
"Pliny the Elder","https://beerrecipes.org/Recipe/4566/pliny-the-elder.html","Beer Style: Imperial IPA (14C)

Recipe Type: all-grain

Yield: 5 US gallons","null","5.0 stars based on 1 votes

1 reviews, Read the reviews","13 lbs 4.0 oz - Pale Malt (2 Row) US (2.0 SRM) (Grain)","9.6 oz - Cara-Pils/Dextrine (2.0 SRM) (Grain)","9.6 oz - Caramel/Crystal Malt - 40L (40.0 SRM) (Grain)","12.0 oz - Corn Sugar (Dextrose) (0.0 SRM) (Grain)","3.5 oz - Columbus (Tomahawk) [14.0%] - Boil 90 min (Hops)","0.8 oz - Columbus (Tomahawk) [14.0%] - Boil 45 min (Hops)","1.0 oz - Simcoe [13.0%] - Boil 30 min (Hops)","0.50 tsp - Irish Moss (Boil 10 min) (Misc)","2.5 oz - Simcoe [13.0%] - Boil 0 min (Hops)","1.0 oz - Centennial [10.0%] - Boil 0 min (Hops)","1 pkgs - California Ale (White Labs #WLP001) (Yeast)","1.0 oz - Centennial [10.0%] - Dry Hop 12 days (Hops)","null"
"Pumpkin Porter (one gallon recipe)","https://beerrecipes.org/Recipe/1271/pumpkin-porter-one-gallon-recipe.html","Beer Style: Robust Porter (12B)

Recipe Type: all-grain

Yield: 5 US gallons","Original Gravity: 1.61
 Recipe Type: all-grain
 Yield: 5.00 US Gallons","5.0 stars based on 2 votes

No reviews","2lbs 4oz 2 Row American","6 oz crystal 70","4 oz Chocolate Malt","4 oz Honey Malt","2 oz Smoked Malt","2 oz rolled oats (toasted)","1 small pumpkin (approx 1 lb-ish)","2g cinnamon","2g nutmeg","2g allspice","20g Cascade (beginning boil)","5g Cascade (aroma)","Bring 8 quarts of Strike water to 163, put in grains, oats and pumpkin for your mash. Let steep for 1 hour. hold temp of 153 (ish) for that hour.



Sparge with 2 quarts water.



Boil for an hour. Add the 6g of mixed spices around the last 5 minutes of the boil."
"Robe & Slippers Russian Imperial Stout","https://beerrecipes.org/Recipe/1389/robe-slippers-russian-imperial-stout.html","Beer Style: Russian Imperial Stout (13F)

Recipe Type: all-grain

Yield: 6 US gallons","Original Gravity: 1.093
 Final Gravity: 1.106
 Recipe Type: all-grain
 Yield: 6.00 US Gallons","5.0 stars based on 1 votes

No reviews","Ingredients","2 lbs Knudsen Just Cherry Juice at end of boil (3.0 SRM) Adjunct 8.3 %","18 lbs Pale Malt, Northwest Pale (3.0 SRM) Grain 75.0 %","1 lbs 4.0 oz Black (Patent) Malt (500.0 SRM) Grain 5.2 %","1 lbs 4.0 oz Roasted Barley (300.0 SRM) Grain 5.2 %","1 lbs Barley, Flaked (1.7 SRM) Grain 4.2 %","8.0 oz Chocolate Malt (350.0 SRM) Grain 2.1 %","0.25 oz Centennial [10.00 %] - Boil 45 min Hop 5.0 IBUs","0.25 oz Magnum [14.00 %] - Boil 45 min Hop 7.8 IBUs","0.25 oz Pacific Jade [13.00 %] - Boil 45 min Hop 7.2 IBUs","1.00 oz Columbus (Tomahawk) [14.00 %] - Boil 30 min Hop 26.0 IBUs","0.25 oz Centennial [10.00 %] - Boil 30 min Hop 4.2 IBUs","Prepare toasted oak and bourbon one week prior to brew day. Add toasted oak and bourbon to the secondary.

Single Infusion, Medium Body, Batch Sparge

Mash in 32 quarts of water at a strike temperature of 162.9F to achieve a target mash temperature of 152F.

Hold at 152F for 60 minutes.

Perform a single decoction mash out by lautering and then drain 13.17 quarts of wort to the boil pot and bring to a boil.

Return the boiling wort to the mash tun, stir and let rest at 168F for 15 minutes.

Lauter and drain the mash tun.

Batch sparge with 4.53 gallons of 170F water.

Stir and let rest for 15 minutes.

Lauter and drain to boil pot.

Boil for 90 minutes.

Ferment at 66-68F until gravity drops to about 1.025. Rack to secondary onto oak and bourbon. Let secondary rise to 72F to 75F and hold for about 4 days. Bring fermentor back down to about 65F and age until gravity readings are steady for 3 consecutive days.

Bottle with 4.32 ounces of corn sugar.

Age for at least 2 months before sampling. Better at 6 months. Great at 1 year or more.

The 2 pints of bourbon ups the ABV by 2%."
"I Walk the Line Porter","https://beerrecipes.org/Recipe/1246/i-walk-the-line-porter.html","Beer Style: Robust Porter (12B)

Recipe Type: all-grain

Yield: 5 US gallons","Original Gravity: 1.076 SG
 Final Gravity: 1.024 SG
 Alcohol by Vol: 6.81%
 Recipe Type: all-grain
 Yield: 5.00 US Gallons","5.0 stars based on 5 votes

No reviews","9.00 lb Pale Malt (2 Row) US (2.0 SRM) Grain 60.00 %","3.00 lb Mild Malt (4.0 SRM) Grain 20.00 %","1.00 lb Black (Patent) Malt (500.0 SRM) Grain 6.67 %","1.00 lb Caramel/Crystal Malt - 10L (10.0 SRM) Grain 6.67 %","0.50 lb Chocolate Malt (350.0 SRM) Grain 3.33 %","0.50 lb Munich Malt - 10L (10.0 SRM) Grain 3.33 %","2.00 oz Fuggles [4.50 %] (60 min) Hops 23.7 IBU","0.25 tsp Irish Moss (Boil 10.0 min) Misc","10.00 gm Gypsum (Calcium Sulfate) (Mash 60.0 min) Misc","1 Pkgs English Ale (White Labs #WLP002) Yeast-Ale","null","null","60 min Mash In Add 18.75 qt of water at 165.9 F 154.0 F 

10 min Mash Out Add 12.00 qt of water at 193.1 F 168.0 F"
"Pete's Wicked Red Clone","https://beerrecipes.org/Recipe/186/petes-wicked-red-clone.html","Beer Style: American Pale Ale (10A)

Recipe Type: extract

Yield: 5 US gallons","Source:
Phil Russo","5.0 stars based on 1 votes

No reviews","1/2 lb Roasted Barley","1/2 lb Munich","1/2 lb Caramel???","one can of John Bull amber","one can of M&F amber","1 oz EKG fresh hops..bittering..@ 60 min to go","1 oz "" "" "" .. "" @ 30 min to go","1 oz Tettnanger hops.aroma @ 10 Min to go","ale yeast","null","null","null","I steeped the grains til the boil and then removed. I added the cans of malt extract and boiled for about 60 min...adding the hops as shown above. I forget the OG and FG (I know the people on here love those figures) but it came out a little over 5% alcohol. After it was done fermenting I put it in the beer ball and primed with a little over a half a cup of corn sugar. I threw out the first cup full of yeasty beer but the rest was awesome."
"Oktoberfest TEBUKEN","https://beerrecipes.org/Recipe/6733/oktoberfest-tebuken.html","Beer Style: Oktoberfest/Märzen (3B)

Recipe Type: all-grain

Yield: 5.81 US gallons","Original Gravity: 1.051 (12.6° P)
 Final Gravity: 1.015 SG (3.9° P)
 Alcohol by Vol: 4.7%
 Color SRM: 11.4  Color Sample 
 Bitterness IBU: 27.7
 Recipe Type: all-grain
 Yield: 5.81 US Gallons","5.0 stars based on 1 votes

No reviews","10.57 gal - Tebuken Pilsen water (Water)","6 lbs 1.0 oz - Pilsner (2 Row)Maltear (2.7 SRM) (Grain)","3 lbs 14.8 oz - Munich Malt (9.0 SRM) (Grain)","1 lbs 3.4 oz - Caramel/Crystal Malt - 60L (60.0 SRM) (Grain)","7.1 oz - Acid Malt (3.0 SRM) (Grain)","1.4 oz - Saaz [3.5%] - Boil 35 min (Hops)","1.1 oz - Hallertauer [4.8%] - Boil 30 min (Hops)","1.50 g - Whirlfloc Tablet (Boil 15 min) (Misc)","1.0 oz - Saaz [3.5%] - Boil 10 min (Hops)","1 pkgs - Saflager Lager (DCL Yeast #W-34/70) (Yeast)","2.32 g - Gelatin (Secondary 5 hours) (Misc)","null","null"
"RYE P.A.","https://beerrecipes.org/Recipe/1063/rye-p-a.html","Beer Style: American Pale Ale (10A)

Recipe Type: all-grain

Yield: 5 US gallons","Original Gravity: 1.066
 Final Gravity: 1.014
 Alcohol by Vol: 6.81%
 Recipe Type: all-grain
 Yield: 5.00 US Gallons","5.0 stars based on 1 votes

No reviews","8 lbs Gambrinus Pale Ale malt (organic)","2 lbs Rye flakes (organic)","2 oz Hallertauer @ 7.6%","2 oz Cascade @9%","Irish moss","Wyeast 1056 (1 qt starter)","null","null","null","null","null","null","Strike 2.5 gal @132f...Add all malts.Rest @122F 30 mins...Add quarts of boiling water till 158F is reached. Rest 30 mins or till starch conversion. Mash out to 168 using more infusions of boiling water( pints).Sparge @168 to collect 6 gallons.Boil 90 mins adding

@90 1oz Cascade

@60 1oz Hallertauer

@20 1oz Hallertauer and Irish moss

@10 wort chiller (if you use one)

@5 1/2oz Cascade

Chill and transfer to primary. Pitch yeast starter @75 F. Ferment @ 64 to 70F.After 7 to 10 days transfer to secondary adding 1/2 oz Cascade. Bottle after 2 weeks with 3/4 cup dextrose."
"Oatmeal Stout 9","https://beerrecipes.org/Recipe/493/oatmeal-stout-9.html","Beer Style: Oatmeal Stout (13C)

Recipe Type: extract

Yield: 5 US gallons","Source:
Gary Eckhardt","5.0 stars based on 4 votes

1 reviews, Read the reviews","6.5 lbs light malt Extract","1.5 lbs American 2-row malt","1 lb. flaked oats","1/2 lb. wheat malt","3/4 lb. roasted barley","1/4 lb. chocolate malt","3/4 lb. crystal malt","1 ounce Northern Brewer hops","Wyeast #1084 Irish ale yeast","null","null","null","""Steep-Mash"" process: Steep grains in grain bag in 4-5 gallons water, for 45 minutes at 158-159F. Remove grain bag and rinse grains with water at same temperature, until about 5.5-6.0 gallons in brewpot. Add malt extract. Bring to boil, add hops and boil for 60 minutes. Cool, pitch yeast. 1 week in primary, re-rack to secondary for 1 more week. Bottle/Keg and enjoy!"
